Abra,Bangued,Luzon,2800
Abra,Dolores,Luzon,2801
Abra,Langagilang,Luzon,2802
Abra,Tayum,Luzon,2803
Abra,Penarubia,Luzon,2804
Abra,Bucay,Luzon,2805
Abra,Pidigan,Luzon,2806
Abra,Langiden,Luzon,2807
Abra,San Quintin,Luzon,2808
Abra,San Isidro,Luzon,2809
Abra,Manabo,Luzon,2810
Abra,Villaviciosa,Luzon,2811
Abra,Pilar,Luzon,2812
Abra,Luba,Luzon,2813
Abra,Tubo,Luzon,2814
Abra,Boliney,Luzon,2815
Abra,Daguioman,Luzon,2816
Abra,Bucloc,Luzon,2817
Abra,Sal-lapadan,Luzon,2818
Abra,Licuan (Baay),Luzon,2819
Abra,Malibcong,Luzon,2820
Abra,Lacub,Luzon,2821
Abra,Tineg,Luzon,2822
Abra,San Juan,Luzon,2823
Abra,Lagayan,Luzon,2824
Abra,Danglas,Luzon,2825
Abra,La Paz,Luzon,2826
Agusan del Norte,Butuan City,Mindanao,8600
Agusan del Norte,Buenavista,Mindanao,8601
Agusan del Norte,Nasipit,Mindanao,8602
Agusan del Norte,Carmen,Mindanao,8603
Agusan del Norte,Magallanes,Mindanao,8604
Agusan del Norte,Cabadbaran,Mindanao,8605
Agusan del Norte,Tubay,Mindanao,8606
Agusan del Norte,Jabonga,Mindanao,8607
Agusan del Norte,Santiago,Mindanao,8608
Agusan del Norte,Kitcharao,Mindanao,8609
Agusan del Norte,La Nieves,Mindanao,8610
Agusan del Norte,Remedios T. Romualdez,Mindanao,8611
Agusan del Sur,San Francisco,Mindanao,8501
Agusan del Sur,Bayugan,Mindanao,8502
Agusan del Sur,Sibagat,Mindanao,8503
Agusan del Sur,Rosario,Mindanao,8504
Agusan del Sur,Trento,Mindanao,8505
Agusan del Sur,Bunawan,Mindanao,8506
Agusan del Sur,Loreto,Mindanao,8507
Agusan del Sur,La Paz,Mindanao,8508
Agusan del Sur,Veruela,Mindanao,8509
Agusan del Sur,Talacogon,Mindanao,8510
Agusan del Sur,San Luis,Mindanao,8511
Agusan del Sur,Santa Josefa,Mindanao,8512
Agusan del Sur,Esperanza,Mindanao,8513
Aklan,Kalibo,Visayas,5600
Aklan,Banga,Visayas,5601
Aklan,Libacao,Visayas,5602
Aklan,Madalag,Visayas,5603
Aklan,Numancia,Visayas,5604
Aklan,Lezo,Visayas,5605
Aklan,Malinao,Visayas,5606
Aklan,Nabas,Visayas,5607
Aklan,Malay,Visayas,5608
Aklan,Buruanga,Visayas,5609
Aklan,New Washington,Visayas,5610
Aklan,Makato,Visayas,5611
Aklan,Tangalan,Visayas,5612
Aklan,Ibajay,Visayas,5613
Aklan,Balite,Visayas,5614
Aklan,Batan,Visayas,5615
Aklan,Altavas,Visayas,5616
Albay,Legaspi City,Luzon,4500
Albay,Daraga (Locsin),Luzon,4501
Albay,Camalig,Luzon,4502
Albay,Guinobatan,Luzon,4503
Albay,Ligao,Luzon,4504
Albay,Oas,Luzon,4505
Albay,Polangui,Luzon,4506
Albay,Libon,Luzon,4507
Albay,Sto. Domingo,Luzon,4508
Albay,Bacacay,Luzon,4509
Albay,Malilipot,Luzon,4510
Albay,Tabaco,Luzon,4511
Albay,Malinao,Luzon,4512
Albay,Tiwi,Luzon,4513
Albay,Manito,Luzon,4514
Albay,Jovellar,Luzon,4515
Albay,Pio Duran,Luzon,4516
Albay,Rapu-rapu,Luzon,4517
Antique,San Jose,Visayas,5700
Antique,Belison,Visayas,5701
Antique,Patnongan,Visayas,5702
Antique,Valderama,Visayas,5703
Antique,Bugasong,Visayas,5704
Antique,Lawa-an,Visayas,5705
Antique,Barbasa,Visayas,5706
Antique,Tibiao,Visayas,5707
Antique,Culasi,Visayas,5708
Antique,Sebaste,Visayas,5709
Antique,Libertad,Visayas,5710
Antique,Caluya,Visayas,5711
Antique,Pandan,Visayas,5712
Antique,Sibalom,Visayas,5713
Antique,San Remegio,Visayas,5714
Antique,Hamtic,Visayas,5715
Antique,Tobias Fornier (Dao),Visayas,5716
Antique,Anini-y,Visayas,5717
Aurora,Baler,Luzon,3200
Aurora,San Luis,Luzon,3201
Aurora,Maria Aurora,Luzon,3202
Aurora,Dipaculao,Luzon,3203
Aurora,Casiguran,Luzon,3204
Aurora,Dilasag,Luzon,3205
Aurora,Dinalungan,Luzon,3206
Aurora,Dingalan,Luzon,3207
Basilan,Isabela de Basilan,Mindanao,7300
Basilan,Lantawan,Mindanao,7301
Basilan,Lamitan,Mindanao,7302
Basilan,Maluso,Mindanao,7303
Basilan,Tipo-tipo,Mindanao,7304
Basilan,Suimisip,Mindanao,7305
Basilan,Tuburan,Mindanao,7306
Bataan,Balanga,Luzon,2100
Bataan,Pilar,Luzon,2101
Bataan,Orion,Luzon,2102
Bataan,Limay,Luzon,2103
Bataan,Lamao,Luzon,2104
Bataan,Mariveles,Luzon,2105
Bataan,"â€°Ã›ÃèBataan Export Processing Zone, Marivelesâ€°Ã›Ã_",Luzon,2106
Bataan,Bagac,Luzon,2107
Bataan,Morong,Luzon,2108
Bataan,Refugee Processing Center (Morong),Luzon,2109
Bataan,Dinalupihan,Luzon,2110
Bataan,Hermosa,Luzon,2111
Bataan,Orani,Luzon,2112
Bataan,Samal,Luzon,2113
Bataan,Abucay,Luzon,2114
Batanes,Basco,Luzon,3900
Batanes,Mahatao,Luzon,3901
Batanes,Ivana,Luzon,3902
Batanes,Uyugan,Luzon,3903
Batanes,Sabtang,Luzon,3904
Batanes,Itbayat,Luzon,3905
Batangas,Batangas City,Luzon,4200
Batangas,Bauan,Luzon,4201
Batangas,Mabini,Luzon,4202
Batangas,Tingloy,Luzon,4203
Batangas,San Pascual,Luzon,4204
Batangas,Alitagtag,Luzon,4205
Batangas,Santa Teresita,Luzon,4206
Batangas,San Nicolas,Luzon,4207
Batangas,Taal,Luzon,4208
Batangas,Lemery,Luzon,4209
Batangas,San Luis,Luzon,4210
Batangas,Agoncillo,Luzon,4211
Batangas,Calaca,Luzon,4212
